x,y
0.0,10.691168
1.0,12.738521
2.0,12.839991
3.0,10.633855
4.0,16.078078
5.0,16.142749
6.0,15.103946
7.0,18.203542
8.0,18.560593
9.0,19.128435
10.0,19.217099
11.0,20.778881
12.0,18.637657
13.0,20.105656
14.0,19.680980
15.0,21.947692
16.0,20.824663
17.0,20.046563
18.0,18.846748
19.0,19.571070
20.0,19.676538
21.0,18.588964
22.0,21.119576
23.0,19.854755
24.0,11.655528
25.0,12.471974
26.0,15.017822
27.0,13.595789
28.0,13.906403
29.0,12.929928
30.0,15.735678
31.0,8.280674
32.0,8.765673
33.0,12.645373
34.0,8.926040
35.0,8.076127
36.0,4.894135
37.0,1.862544
38.0,4.803481
39.0,4.077858
40.0,0.885042
41.0,1.548092
42.0,2.445347
43.0,0.479021
44.0,2.058241
45.0,2.440966
46.0,2.425954
47.0,1.555941
48.0,4.076931
49.0,5.096879
50.0,4.481443
51.0,2.823370
52.0,6.631856
53.0,4.955814
54.0,8.580469
55.0,5.606425
56.0,10.561568
57.0,9.719703
58.0,8.323385
59.0,11.276916
60.0,13.108205
61.0,14.640867
62.0,13.214741
63.0,14.025424
64.0,17.666535
65.0,17.316501
66.0,19.648864
67.0,21.560345
68.0,17.533874
69.0,22.048946
70.0,24.609548
71.0,22.090401
72.0,21.488936
73.0,24.935964
74.0,24.152112
75.0,25.541766
76.0,23.054788
77.0,20.667839
78.0,23.190544
79.0,22.193798
80.0,24.210902
81.0,22.527436
82.0,18.269750
83.0,18.450980
84.0,21.845431
85.0,20.609530
86.0,17.086880
87.0,17.438072
88.0,17.370264
89.0,16.432093
90.0,16.252484
91.0,14.017687
92.0,12.331226
93.0,11.042134
94.0,12.744119
95.0,5.248291
96.0,8.644837
97.0,8.224694
98.0,4.617854
99.0,7.525457
100.0,5.037184
101.0,7.639435
102.0,5.338251
103.0,6.706830
104.0,7.692468
105.0,6.015859
106.0,3.603339
107.0,2.539887
108.0,9.396203
109.0,6.091961
110.0,5.462616
111.0,7.748344
112.0,7.785729
113.0,10.662978
114.0,9.890004
115.0,10.777499
116.0,10.303474
117.0,13.698966
118.0,11.753150
119.0,16.236494
120.0,19.047875
121.0,14.045913
122.0,13.246658
123.0,20.473927
124.0,25.363162
125.0,19.248150
126.0,19.676461
127.0,24.219244
128.0,22.150005
129.0,23.528119
130.0,24.464019
131.0,26.749459
132.0,25.299960
133.0,26.987242
134.0,26.292152
135.0,25.060658
136.0,26.105566
137.0,24.730677
138.0,26.423595
139.0,23.837722
140.0,23.474465
141.0,28.054094
142.0,24.425080
143.0,23.733502
144.0,24.100925
145.0,21.408286
146.0,20.910296
147.0,21.290467
148.0,20.043949
149.0,16.176691
150.0,19.166685
151.0,15.323845
152.0,13.408725
153.0,12.758880
154.0,12.851543
155.0,16.004601
156.0,9.571076
157.0,11.478846
158.0,6.192903
159.0,9.856696
160.0,11.138879
161.0,8.441219
162.0,7.330725
163.0,8.831546
164.0,9.655085
165.0,9.577315
166.0,12.299729
167.0,8.986859
168.0,7.704615
169.0,9.062587
170.0,9.694749
171.0,10.677305
172.0,11.108496
173.0,12.306626
174.0,9.480447
175.0,15.409258
176.0,13.583155
177.0,13.413513
178.0,18.096385
179.0,20.539367
180.0,19.986056
181.0,20.417603
182.0,19.314676
183.0,27.983305
184.0,25.027884
185.0,21.971411
186.0,23.618577
187.0,26.215265
188.0,23.721986
189.0,27.877431
190.0,27.242111
191.0,31.137996
192.0,31.034874
193.0,24.008905
194.0,29.728624
195.0,26.515065
196.0,31.964495
197.0,29.967688
198.0,30.507376
199.0,26.955205
200.0,32.317115
201.0,32.180317
202.0,25.401906
203.0,27.586936
204.0,24.731248
205.0,25.202860
206.0,21.836092
207.0,27.174461
208.0,20.540758
209.0,20.903117
210.0,21.502966
211.0,18.209594
212.0,18.042258
213.0,16.432550
214.0,16.365712
215.0,13.408915
216.0,14.046171
217.0,13.744908
218.0,12.801100
219.0,12.973210
220.0,11.753542
221.0,13.420968
222.0,10.943043
223.0,11.095225
224.0,9.925218
225.0,10.196970
226.0,8.825795
227.0,12.606094
228.0,9.604399
229.0,10.822833
230.0,13.558235
231.0,14.264977
232.0,13.368322
233.0,10.920162
234.0,16.663174
235.0,17.269127
236.0,14.907871
237.0,20.300474
238.0,18.418683
239.0,18.652339
240.0,22.191461
241.0,22.738344
242.0,24.584365
243.0,22.028674
244.0,29.891827
245.0,26.044683
246.0,25.098534
247.0,30.278990
248.0,29.121840
249.0,31.189887
250.0,30.481037
251.0,31.565974
252.0,32.602111
253.0,30.938170
254.0,34.002698
255.0,31.810200
256.0,31.005845
257.0,32.785541
258.0,33.300648
259.0,31.627296
260.0,29.935214
261.0,32.379741
262.0,27.010791
263.0,27.779578
264.0,29.156898
265.0,25.527881
266.0,27.423355
267.0,26.330444
268.0,27.276596
269.0,22.665704
270.0,22.248187
271.0,23.171079
272.0,16.605756
273.0,26.759915
274.0,18.235332
275.0,17.290330
276.0,19.644402
277.0,17.079030
278.0,12.909695
279.0,17.113685
280.0,17.050502
281.0,14.014653
282.0,14.026234
283.0,15.340493
284.0,12.437221
285.0,15.126777
286.0,14.753378
287.0,13.218659
288.0,12.105231
289.0,14.863334
290.0,14.088901
291.0,18.462651
292.0,17.456722
293.0,19.522863
294.0,19.091391
295.0,20.275802
296.0,19.166636
297.0,23.095925
298.0,26.390280
299.0,23.285340
